id,liwc.funct,liwc.pronoun,liwc.ppron,liwc.i,liwc.we,liwc.you,liwc.shehe,liwc.they,liwc.ipron,liwc.article,liwc.verb,liwc.auxverb,liwc.past,liwc.present,liwc.future,liwc.adverb,liwc.preps,liwc.conj,liwc.negate,liwc.quant,liwc.number,liwc.swear,liwc.social,liwc.family,liwc.friend,liwc.humans,liwc.affect,liwc.posemo,liwc.negemo,liwc.anx,liwc.anger,liwc.sad,liwc.cogmech,liwc.insight,liwc.cause,liwc.discrep,liwc.tentat,liwc.certain,liwc.inhib,liwc.incl,liwc.excl,liwc.percept,liwc.see,liwc.hear,liwc.feel,liwc.bio,liwc.body,liwc.health,liwc.sexual,liwc.ingest,liwc.relativ,liwc.motion,liwc.space,liwc.time,liwc.work,liwc.achieve,liwc.leisure,liwc.home,liwc.money,liwc.relig,liwc.death,liwc.assent,liwc.nonfl,liwc.filler
1590,36,13,9,1,0,8,6,2,9,8,11,6,1,3,2,2,14,7,0,4,1,3,13,0,0,5,3,1,2,0,1,0,28,2,6,3,5,2,0,12,4,3,0,1,0,6,2,1,2,5,10,5,11,7,4,4,0,0,3,0,0,0,5,0
1591,42,14,10,1,0,9,7,3,9,9,11,6,2,3,2,2,17,7,0,5,2,4,15,0,0,6,6,4,2,0,1,0,33,3,7,3,7,2,0,14,4,5,1,1,1,7,3,1,2,6,13,6,13,8,6,7,0,0,3,0,0,1,5,0
1592,11,3,2,0,0,2,2,1,2,2,4,2,0,3,0,0,3,2,0,3,1,1,5,0,0,0,1,0,1,1,0,0,11,2,2,1,2,0,3,3,1,0,0,0,0,3,0,2,0,1,5,3,2,5,2,2,0,0,2,0,0,0,0,0
1593,12,4,3,0,0,3,1,3,1,3,6,3,0,5,0,0,2,2,0,3,1,1,6,0,0,0,2,0,2,1,0,1,13,2,4,2,3,1,4,2,1,1,0,0,1,3,0,2,0,1,5,4,1,4,2,3,0,0,2,0,0,0,0,0
1596,13,5,3,0,0,3,1,2,2,3,5,2,0,0,1,0,7,1,0,0,0,3,7,0,0,2,3,2,1,0,1,0,10,2,2,2,2,0,1,4,1,1,0,1,0,3,2,1,1,2,4,3,3,2,6,6,0,0,2,0,0,0,1,0
1597,18,6,4,0,0,4,1,3,2,3,5,2,0,0,1,0,11,2,0,1,0,3,8,0,0,3,4,3,1,0,1,0,14,3,2,2,2,0,2,7,1,3,1,2,1,5,2,2,1,4,7,3,5,2,8,8,1,0,3,0,0,1,1,0
1598,36,13,9,1,0,8,6,2,9,9,9,5,1,2,2,1,14,6,0,5,2,2,14,0,0,4,4,3,1,0,1,0,29,3,6,3,7,1,0,12,4,4,0,1,1,5,2,1,1,4,11,5,12,8,5,5,0,0,3,0,0,1,5,0
1599,20,7,5,0,0,5,2,3,3,5,6,3,0,1,1,0,10,3,0,2,1,3,8,0,0,2,4,3,1,0,1,0,18,4,2,2,3,0,3,8,2,3,1,2,1,6,3,2,1,3,6,3,5,3,7,7,1,0,4,0,0,0,2,0
1600,27,10,4,0,0,3,3,1,8,1,5,3,3,2,0,3,10,7,0,4,0,2,11,0,0,3,5,3,2,1,0,0,20,1,1,5,6,0,3,7,4,3,2,1,0,1,1,0,0,7,12,1,6,6,1,1,0,0,0,0,0,1,2,0
1601,28,13,8,1,0,6,4,3,7,3,12,5,3,4,3,3,7,7,0,4,0,2,16,0,0,4,4,4,0,0,0,0,27,3,1,9,4,1,2,5,8,2,1,1,1,3,2,1,0,5,11,7,4,6,1,7,0,0,2,0,0,0,1,0
1604,27,10,4,0,0,3,3,1,8,1,5,3,3,2,0,3,10,7,0,4,0,2,11,0,0,3,5,3,2,1,0,0,20,1,1,5,6,0,3,7,4,3,2,1,0,1,1,0,0,7,12,1,6,6,1,1,0,0,0,0,0,1,2,0
1621,13,4,4,0,0,4,1,1,1,2,6,3,2,2,1,0,6,2,0,2,0,1,4,0,0,1,1,1,0,0,0,0,15,3,3,1,0,2,3,7,1,2,1,0,0,6,1,1,1,3,5,3,2,3,2,3,1,0,3,0,0,1,1,0
1622,14,4,4,0,0,4,0,3,0,3,5,3,1,2,1,0,4,3,0,1,0,2,4,0,0,0,0,0,0,0,0,0,15,4,3,0,0,1,2,6,1,2,1,0,0,4,1,1,0,2,5,3,2,2,2,4,1,1,2,0,0,0,0,0
1624,14,4,4,0,0,4,0,3,0,3,5,3,1,2,1,0,4,3,0,1,0,2,4,0,0,0,0,0,0,0,0,0,15,4,3,0,0,1,2,6,1,2,1,0,0,4,1,1,0,2,5,3,2,2,2,4,1,1,2,0,0,0,0,0
1628,14,4,4,0,0,4,0,3,0,3,5,3,1,2,1,0,4,3,0,1,0,2,4,0,0,0,0,0,0,0,0,0,15,4,3,0,0,1,2,6,1,2,1,0,0,4,1,1,0,2,5,3,2,2,2,4,1,1,2,0,0,0,0,0
1630,17,7,4,0,0,4,1,3,3,4,8,4,1,2,1,0,7,1,0,1,0,3,8,0,0,2,3,2,1,0,1,0,13,3,3,2,3,1,2,4,1,1,0,1,0,4,2,2,1,3,8,6,4,5,8,8,0,0,3,0,0,0,1,0
1631,4,1,0,0,0,0,0,0,1,0,2,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,2,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1632,9,3,0,0,0,0,0,0,3,0,2,1,1,1,0,1,1,2,0,2,0,1,3,0,0,0,0,0,0,0,0,0,6,1,1,3,3,0,2,1,2,2,1,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
1636,15,5,5,0,0,5,1,4,0,3,5,3,1,2,1,0,5,2,0,1,0,2,5,0,0,0,0,0,0,0,0,0,14,4,3,1,0,1,2,5,0,2,1,0,0,4,1,1,0,4,7,3,3,3,2,4,1,1,3,0,0,0,0,0
1637,4,1,0,0,0,0,0,0,1,0,2,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,2,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1639,18,7,5,0,0,5,2,1,4,3,3,1,0,4,0,4,6,4,0,2,0,3,7,0,0,4,4,3,0,0,0,0,16,2,3,3,3,2,1,4,2,3,1,1,2,1,0,0,1,1,3,1,3,5,3,3,0,0,1,0,0,0,0,0
1640,18,7,5,0,0,5,2,1,4,3,3,1,0,4,0,4,6,4,0,2,0,3,7,0,0,4,4,3,0,0,0,0,16,2,3,3,3,2,1,4,2,3,1,1,2,1,0,0,1,1,3,1,3,5,3,3,0,0,1,0,0,0,0,0
